portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,A
Optimal Portfolio no_short,0.0774297101243943,0.00473458788301759,0.06880834166739952,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,,United SGD Fund B Acc SGD (46.93%); Infinity US 500 Stock Index SGD (28.13%); Amova Singapore Equity SGD (formerly Nikko AM) (20.07%),N/A,True,0.5242968984234837,0.047578133521968394,-0.1229113968114186,7.810661616798205e-19,0.4692621088782814,0.0,2.1174653197728946e-17,0.20067583934191408,0.2813137785313276,0.0,0.0,2.6314364422176794e-17,0.04874827324847687,12.61
Optimal Portfolio no_short,0.07733069877959621,0.004718882585112986,0.06869412336665331,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.03%); Infinity US 500 Stock Index SGD (28.08%); Amova Singapore Equity SGD (formerly Nikko AM) (20.03%),N/A,True,0.5239973390580763,0.04755454966753327,-0.12269364615381406,0.0,0.47026270539316056,0.0,8.203163067712588e-18,0.20025202369434625,0.2807667416386584,6.152031909705383e-18,0.0,6.71075432204248e-18,0.04871852927383485,12.62
Optimal Portfolio no_short,0.07733069877959621,0.004718882585112986,0.06869412336665331,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.03%); Infinity US 500 Stock Index SGD (28.08%); Amova Singapore Equity SGD (formerly Nikko AM) (20.03%),N/A,True,0.5239973390580763,0.0475309552546077,-0.12269364615381406,0.0,0.47026270539316056,0.0,8.203163067712588e-18,0.20025202369434625,0.2807667416386584,6.152031909705383e-18,0.0,6.71075432204248e-18,0.04871852927383485,12.63
Optimal Portfolio no_short,0.07724698297319309,0.0047056256593852545,0.06859756307176848,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (47.11%); Infinity US 500 Stock Index SGD (28.04%); Amova Singapore Equity SGD (formerly Nikko AM) (20.00%),N/A,True,0.5235987018144184,0.04750742880587828,-0.1225239118249214,0.0,0.4710624141541901,0.0,0.0,0.1999717617905083,0.28040855552637145,4.014327803035361e-19,2.7588623862129695e-18,0.0,0.04855726852893032,12.64
Optimal Portfolio no_short,0.07724698297319309,0.0047056256593852545,0.06859756307176848,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (47.11%); Infinity US 500 Stock Index SGD (28.04%); Amova Singapore Equity SGD (formerly Nikko AM) (20.00%),N/A,True,0.5235987018144184,0.04748390067758135,-0.1225239118249214,0.0,0.4710624141541901,0.0,0.0,0.1999717617905083,0.28040855552637145,4.014327803035361e-19,2.7588623862129695e-18,0.0,0.04855726852893032,12.65
Optimal Portfolio no_short,0.07714869269709274,0.004690084062535339,0.06848418841262076,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.21%); Infinity US 500 Stock Index SGD (27.99%); Amova Singapore Equity SGD (formerly Nikko AM) (19.96%),N/A,True,0.5233009416089673,0.04746046058124404,-0.12230774527249211,3.358370210953878e-18,0.47205560854620016,1.418143965903222e-17,0.0,0.19955120318627356,0.2798657969169844,0.0,0.0,2.963057361679879e-17,0.048527391350541974,12.66
Optimal Portfolio no_short,0.07714869269709274,0.004690084062535339,0.06848418841262076,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.21%); Infinity US 500 Stock Index SGD (27.99%); Amova Singapore Equity SGD (formerly Nikko AM) (19.96%),N/A,True,0.5233009416089673,0.04743701016093137,-0.12230774527249211,3.358370210953878e-18,0.47205560854620016,1.418143965903222e-17,0.0,0.19955120318627356,0.2798657969169844,0.0,0.0,2.963057361679879e-17,0.048527391350541974,12.67
Optimal Portfolio no_short,0.07706541070428956,0.0046769374743042815,0.06838813840355856,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.29%); Infinity US 500 Stock Index SGD (27.95%); Amova Singapore Equity SGD (formerly Nikko AM) (19.93%),N/A,True,0.5229049154909935,0.047413627117200416,-0.12213881310701613,2.6107859663556743e-18,0.4728513384609791,1.2613372055904325e-17,1.174789385493936e-18,0.19927214474411523,0.2795090503139616,0.0,0.0,3.576031091334757e-17,0.0483674664809441,12.68
Optimal Portfolio no_short,0.07706541070428956,0.0046769374743042815,0.06838813840355856,1.0,1.0,1.0,0.0,,United SGD Fund B Acc SGD (47.29%); Infinity US 500 Stock Index SGD (27.95%); Amova Singapore Equity SGD (formerly Nikko AM) (19.93%),N/A,True,0.5229049154909935,0.047390242429828894,-0.12213881310701613,2.6107859663556743e-18,0.4728513384609791,1.2613372055904325e-17,1.174789385493936e-18,0.19927214474411523,0.2795090503139616,0.0,0.0,3.576031091334757e-17,0.0483674664809441,12.69
Optimal Portfolio no_short,0.0769678342333924,0.004661557400754574,0.06827559886778418,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,,United SGD Fund B Acc SGD (47.38%); Infinity US 500 Stock Index SGD (27.90%); Amova Singapore Equity SGD (formerly Nikko AM) (19.89%),N/A,True,0.5226089343301032,0.047366944738600855,-0.12192421464682224,0.0,0.473837205666296,1.2595360638881066e-17,0.0,0.1988548062419151,0.2789705312798756,0.0,1.3295148682916e-18,0.0,0.04833745681191343,12.7
