portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return unconstrained_short,0.02027042860571793,2.3434977925152362e-05,0.004840968696981252,1.0000000000000002,1.0910088443739074,1.1820176887478147,0.09100884437390727,0.020270428606372667,LionGlobal SGD Money Market A Acc SGD (63.49%); United SGD Fund B Acc SGD (43.59%); Infinity US 500 Stock Index SGD (1.59%),United High Grade Corporate Bond A Acc SGD (-4.76%); AB FCP I Global High Yield A2 SGD-H (-3.21%); Schroder ISF Asian Opportunities A Acc SGD (-0.84%),False,0.29001797279886044,,-0.002972239761655726,0.6349358037607802,0.43585419499006395,-0.047607745440958776,-0.03206732627036359,0.00022042110679526973,0.015918648332162316,-0.0007651259242867563,-0.008424184207776294,0.004079776184105563,-0.002144462530521843,unconstrained_short
Target Return unconstrained_short,0.4123482709060618,0.056243994606841326,0.23715816369427667,1.0,20.041267315693258,39.082534631386515,19.041267315693258,0.41234827089584586,United SGD Fund B Acc SGD (1639.91%); Infinity US 500 Stock Index SGD (172.35%); Amova Singapore Equity SGD (formerly Nikko AM) (95.85%),LionGlobal SGD Money Market A Acc SGD (-1244.63%); AB FCP I Global High Yield A2 SGD-H (-312.52%); United High Grade Corporate Bond A Acc SGD (-195.87%),False,0.4216367407905289,,-0.1944313751779193,-12.446335047210352,16.399140078930845,-1.958669643327694,-3.1251967136361016,0.9585261775179273,1.7234753055853838,0.7173882637658129,-0.4647393639096024,-1.0463265476095083,0.24273748989328972,unconstrained_short
Target Return unconstrained_short,0.4224015489068994,0.05913859551004084,0.24318428302429587,0.9999999999999987,20.551668899038773,40.103337798077554,19.551668899038773,0.42240154890326825,United SGD Fund B Acc SGD (1681.68%); Infinity US 500 Stock Index SGD (176.73%); Amova Singapore Equity SGD (formerly Nikko AM) (98.29%),LionGlobal SGD Money Market A Acc SGD (-1278.89%); AB FCP I Global High Yield A2 SGD-H (-320.47%); United High Grade Corporate Bond A Acc SGD (-200.84%),False,0.4216393705609965,,-0.19915534245484323,-12.78885041573747,16.816812386894938,-2.0084212868868314,-3.2047268817119727,0.9829318111458506,1.7672914767026768,0.735703205666255,-0.4766565796146777,-1.0730137350878235,0.24893001862905345,unconstrained_short
Target Return unconstrained_short,0.4324548268920371,0.06210583590760471,0.24921042495771462,1.0000000000000004,21.06204254133487,41.12408508266974,20.06204254133487,0.43245482691069065,United SGD Fund B Acc SGD (1723.45%); Infinity US 500 Stock Index SGD (181.11%); Amova Singapore Equity SGD (formerly Nikko AM) (100.73%),LionGlobal SGD Money Market A Acc SGD (-1313.13%); AB FCP I Global High Yield A2 SGD-H (-328.43%); United High Grade Corporate Bond A Acc SGD (-205.82%),False,0.4216419933937623,,-0.2038630704326665,-13.131342099462708,17.234455856634497,-2.0581695214709708,-3.284256220939609,1.0073382777579358,1.8111081527414747,0.7540174253562568,-0.48857305376558224,-1.099701645695999,0.25512282884470505,unconstrained_short
Target Return unconstrained_short,0.4425081049054422,0.06514571581473942,0.2552365879233215,1.0000000000000004,21.572428774640382,42.14485754928076,20.57242877464038,0.44250810491811304,United SGD Fund B Acc SGD (1765.21%); Infinity US 500 Stock Index SGD (185.49%); Amova Singapore Equity SGD (formerly Nikko AM) (103.17%),LionGlobal SGD Money Market A Acc SGD (-1347.38%); AB FCP I Global High Yield A2 SGD-H (-336.38%); United High Grade Corporate Bond A Acc SGD (-210.79%),False,0.42164446255911586,,-0.20855475139560098,-13.473844430128278,17.652112072043046,-2.1079186807528507,-3.3637865108653937,1.0317445454021716,1.8549242624106685,0.7723323862628666,-0.500489945392861,-1.1263892075009971,0.2613155085216283,unconstrained_short
Target Return unconstrained_short,0.452561382918934,0.06825823522236674,0.26126277044838736,1.0000000000000009,22.08281818449935,43.1656363689987,21.08281818449934,0.45256138292553544,United SGD Fund B Acc SGD (1806.98%); Infinity US 500 Stock Index SGD (189.87%); Amova Singapore Equity SGD (formerly Nikko AM) (105.62%),LionGlobal SGD Money Market A Acc SGD (-1381.63%); AB FCP I Global High Yield A2 SGD-H (-344.33%); United High Grade Corporate Bond A Acc SGD (-215.77%),False,0.42164679268189864,,-0.21323039154449264,-13.816349548766896,18.06977175367265,-2.157668540772983,-3.443316606303283,1.0561505341538073,1.8987404908307388,0.7906472472961439,-0.5124068039708701,-1.1530766846853144,0.2675081585460062,unconstrained_short
Target Return unconstrained_short,0.4626146609357491,0.07144339413284438,0.2672889712143851,1.0000000000000004,22.593237473081413,44.18647494616283,21.593237473081416,0.46261466093295783,United SGD Fund B Acc SGD (1848.75%); Infinity US 500 Stock Index SGD (194.26%); Amova Singapore Equity SGD (formerly Nikko AM) (108.06%),LionGlobal SGD Money Market A Acc SGD (-1415.89%); AB FCP I Global High Yield A2 SGD-H (-352.28%); United High Grade Corporate Bond A Acc SGD (-220.74%),False,0.4216488445080515,,-0.2178901228190987,-14.158880578617072,18.487462529771747,-2.207421897719414,-3.5228470539494534,1.0805557656849274,1.9425569507766962,0.8089617338823665,-0.5243245274253816,-1.1797634153700929,0.2737004929656771,unconstrained_short
Target Return unconstrained_short,0.4726679389415519,0.07470119253846631,0.27331518900065965,1.000000000000001,23.103621663586402,45.207243327172804,22.103621663586402,0.47266793894038023,United SGD Fund B Acc SGD (1890.51%); Infinity US 500 Stock Index SGD (198.64%); Amova Singapore Equity SGD (formerly Nikko AM) (110.50%),LionGlobal SGD Money Market A Acc SGD (-1450.14%); AB FCP I Global High Yield A2 SGD-H (-360.24%); United High Grade Corporate Bond A Acc SGD (-225.72%),False,0.42165099224037006,,-0.22253370469952882,-14.50138065719968,18.905116777490797,-2.2571716858562985,-3.6023770455013593,1.1049619692241097,1.9863733570881412,0.8272763557218815,-0.5362413143723626,-1.206450960656702,0.2798932040614746,unconstrained_short
Target Return unconstrained_short,0.482721216949184,0.07803163044510006,0.2793414227161809,1.0000000000000018,23.61401096033658,46.22802192067316,22.614010960336575,0.4827212169478026,United SGD Fund B Acc SGD (1932.28%); Infinity US 500 Stock Index SGD (203.02%); Amova Singapore Equity SGD (formerly Nikko AM) (112.94%),LionGlobal SGD Money Market A Acc SGD (-1484.39%); AB FCP I Global High Yield A2 SGD-H (-368.19%); United High Grade Corporate Bond A Acc SGD (-230.69%),False,0.4216530232264927,,-0.22716134154702106,-14.843885451292469,19.322776509727852,-2.306922426440122,-3.681906392667687,1.129367856952992,2.0301896437527445,0.8455910884330716,-0.5481581231093225,-1.2331385668269765,0.2860858614699183,unconstrained_short
Target Return unconstrained_short,0.4927744949569786,0.08143470785324579,0.28536767135267055,1.0000000000000004,24.124412056329422,47.248824112658845,23.124412056329422,0.492774494955225,United SGD Fund B Acc SGD (1974.04%); Infinity US 500 Stock Index SGD (207.40%); Amova Singapore Equity SGD (formerly Nikko AM) (115.38%),LionGlobal SGD Money Market A Acc SGD (-1518.64%); AB FCP I Global High Yield A2 SGD-H (-376.14%); United High Grade Corporate Bond A Acc SGD (-235.67%),False,0.4216549225336009,,-0.23177301639228132,-15.18640062207667,19.74044824979757,-2.356673395317656,-3.7614369812151316,1.1537735065051318,2.07400585925774,0.86390604009975,-0.5600753387643564,-1.2598257189556061,0.29227840066922905,unconstrained_short
Target Return unconstrained_short,0.5028277729771423,0.08491042476427604,0.2913939339867528,1.000000000000003,24.63479154013032,48.26958308026064,23.63479154013032,0.5028277729626474,United SGD Fund B Acc SGD (2015.81%); Infinity US 500 Stock Index SGD (211.78%); Amova Singapore Equity SGD (formerly Nikko AM) (117.82%),LionGlobal SGD Money Market A Acc SGD (-1552.89%); AB FCP I Global High Yield A2 SGD-H (-384.10%); United High Grade Corporate Bond A Acc SGD (-240.64%),False,0.4216568028180629,,-0.23636871919518077,-15.52889654093726,20.158097986657932,-2.4064236052613484,-3.8409660906718424,1.1781795393735635,2.117822788771657,0.8822200808622259,-0.5719918366944216,-1.2865134665654445,0.29847114446494116,unconstrained_short
