portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return no_short,0.046990844977681405,0.0011584958239398225,0.03403668350382896,1.0,1.0,1.0,0.0,0.04699084497871986,LionGlobal SGD Money Market A Acc SGD (38.63%); United SGD Fund B Acc SGD (35.88%); Infinity US 500 Stock Index SGD (13.70%),N/A,True,0.3907906834785905,,-0.05884818123876989,0.3863265666193077,0.35883569331957094,0.0,0.0,0.09547331690899372,0.13701918836836363,0.0,6.295220356955809e-18,3.09337147266889e-17,0.02234523478376405,no_short
Target Return no_short,0.04873483446261094,0.0012977795857324675,0.036024707989551666,1.0,1.0,1.0,0.0,0.04873483445893077,LionGlobal SGD Money Market A Acc SGD (37.63%); United SGD Fund B Acc SGD (35.22%); Infinity US 500 Stock Index SGD (14.56%),N/A,True,0.39768619403900274,,-0.06262022818444368,0.37634391237567083,0.3521890930000125,0.0,1.4255004734669466e-17,0.10199021564322748,0.14564643897587917,2.5524418245038954e-19,0.0,4.2281630893419755e-17,0.02383034000521006,no_short
Target Return no_short,0.05047882393753057,0.0014452358913350071,0.038016258250056736,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.05047882393914167,LionGlobal SGD Money Market A Acc SGD (36.65%); United SGD Fund B Acc SGD (34.55%); Infinity US 500 Stock Index SGD (15.41%),N/A,True,0.4047945517219538,,-0.06636598610255662,0.3664668465777171,0.3454990563315408,0.0,0.0,0.10839667662201506,0.15411752297934722,0.0,4.8405733649250344e-18,7.45931094670027e-17,0.025519897489379842,no_short
Target Return no_short,0.05222281341768502,0.0016008631036922712,0.04001078734156916,1.0,1.0,1.0,0.0,0.05222281341935259,LionGlobal SGD Money Market A Acc SGD (35.67%); United SGD Fund B Acc SGD (33.87%); Infinity US 500 Stock Index SGD (16.26%),N/A,True,0.4118960803568374,,-0.07010575750993753,0.3566927246333957,0.33870085704998837,4.3525176947163733e-17,0.0,0.11479779907659762,0.16259750321999064,0.0,0.0,4.682398132421772e-18,0.0272111160200277,no_short
Target Return no_short,0.05396680290353397,0.001764664310469075,0.0420079077135374,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.0,0.05396680289956349,LionGlobal SGD Money Market A Acc SGD (34.70%); United SGD Fund B Acc SGD (33.18%); Infinity US 500 Stock Index SGD (17.11%),N/A,True,0.41899063678911797,,-0.07383970398864592,0.34703033496904784,0.33178499834290115,0.0,0.0,0.12119497182768901,0.1710856402217271,0.0,0.0,6.31006225811991e-17,0.028904054638635154,no_short
Target Return no_short,0.05571079237803164,0.001936639330987905,0.04400726452516567,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0557107923797744,LionGlobal SGD Money Market A Acc SGD (33.74%); United SGD Fund B Acc SGD (32.48%); Infinity US 500 Stock Index SGD (17.96%),N/A,True,0.4260811901547569,,-0.0775675952623528,0.3374222652752021,0.3248125754501689,1.4387049798784343e-16,0.0,0.12758625457983558,0.17958062761832547,2.1886636275791473e-17,0.0,0.0,0.030598277076468162,no_short
Target Return no_short,0.057454781864233355,0.0021167882912929373,0.04600856758575447,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0574547818599853,LionGlobal SGD Money Market A Acc SGD (32.78%); United SGD Fund B Acc SGD (31.78%); Infinity US 500 Stock Index SGD (18.81%),N/A,True,0.43316851461439365,,-0.08129014875655771,0.3278474728450654,0.31780468736956263,0.0,0.0,0.13397726592944317,0.18807870911669514,1.8634889652958765e-18,0.0,1.4162390878091902e-18,0.032291864739233775,no_short
Target Return no_short,0.05919877134399439,0.002305105396335272,0.04801151316439914,1.0,1.0,1.0,0.0,0.059198771340196216,LionGlobal SGD Money Market A Acc SGD (31.82%); United SGD Fund B Acc SGD (31.09%); Infinity US 500 Stock Index SGD (19.66%),N/A,True,0.44026600112669856,,-0.08500300173868924,0.31821454190604204,0.31086628437138725,0.0,2.839254439196415e-17,0.1403349099123983,0.19658600179958466,0.0,4.323256162785949e-18,1.1350241493207625e-19,0.033998262010587865,no_short
Target Return no_short,0.06094276081893105,0.002501605815611677,0.05001605557830083,1.0,1.0,1.0,0.0,0.06094276082040713,LionGlobal SGD Money Market A Acc SGD (30.87%); United SGD Fund B Acc SGD (30.38%); Infinity US 500 Stock Index SGD (20.51%),N/A,True,0.4473884793313173,,-0.08870541411830979,0.3087309302020202,0.3037832415083615,0.0,2.435076696149031e-17,0.14666022932499603,0.20508446517551615,0.0,0.0,0.0,0.03574113378910613,no_short
Target Return no_short,0.06268675030044138,0.0027062757734951696,0.05202187783514903,1.0,1.0,1.0,0.0,0.06268675030061803,LionGlobal SGD Money Market A Acc SGD (29.92%); United SGD Fund B Acc SGD (29.67%); Infinity US 500 Stock Index SGD (21.37%),N/A,True,0.4543669665684666,,-0.09240640638610798,0.2991790777728217,0.2967422448786766,0.0,1.143020140342843e-16,0.15297764671830655,0.2137355155500184,0.0,7.633460920655755e-18,1.640069577983782e-17,0.03736551508017659,no_short
