portfolio_name,expected_return,variance,volatility,net_exposure,long_exposure,gross_exposure,short_exposure,target_return,top_long_positions,top_short_positions,client_ready,weighted_long_fee_pct,utility,max_drawdown,LionGlobal SGD Money Market A Acc SGD,United SGD Fund B Acc SGD,United High Grade Corporate Bond A Acc SGD,AB FCP I Global High Yield A2 SGD-H,Amova Singapore Equity SGD (formerly Nikko AM),Infinity US 500 Stock Index SGD,Fidelity World A-ACC-SGD,Schroder ISF Asian Opportunities A Acc SGD,First Sentier Global Property Securities A Acc SGD,Blackrock World Gold Fund A2 SGD-H,policy
Target Return bounded_short,0.046803949060294406,0.0007732715868232597,0.027807761269531564,1.0,1.2,1.4,0.2,0.04680394906097979,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (23.01%),First Sentier Global Property Securities A Acc SGD (-10.69%); AB FCP I Global High Yield A2 SGD-H (-9.31%); Schroder ISF Asian Opportunities A Acc SGD (-0.00%),False,0.47528474442120244,,-0.03385034544668608,0.35,0.35,0.23006446174886003,-0.09312523403842508,0.11960390815995828,0.13282756059881978,0.0005520804387469263,-3.017242648379765e-07,-0.1068744642373101,0.016951989053615054,bounded_short
Target Return bounded_short,0.04848623175145156,0.0008408740974297561,0.028997829184781335,0.9999999999999999,1.2,1.3999999999999997,0.1999999999999999,0.0484862317516639,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (21.70%),First Sentier Global Property Securities A Acc SGD (-11.91%); AB FCP I Global High Yield A2 SGD-H (-8.09%); Schroder ISF Asian Opportunities A Acc SGD (-0.00%),False,0.47237360907253134,,-0.03575070303083083,0.35,0.35,0.21702478919292054,-0.08088273251639053,0.11574076215893919,0.14842136782035428,4.529991877084832e-07,-6.2862260414637895e-06,-0.1191109812575679,0.018812627828598206,bounded_short
Target Return bounded_short,0.05016851444229047,0.0009127312564247371,0.030211442475074523,0.9999999999999999,1.1999999999999997,1.3999999999999995,0.1999999999999999,0.05016851444234802,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (20.23%),First Sentier Global Property Securities A Acc SGD (-12.53%); AB FCP I Global High Yield A2 SGD-H (-7.47%),False,0.4708705771741536,,-0.03782906680395359,0.35,0.35,0.20230266194163993,-0.07466252076396225,0.11867000623117624,0.15850711094774692,1.240151047120482e-06,3.5832765687819814e-06,-0.12533747923603766,0.020515397451820818,bounded_short
Target Return bounded_short,0.051850797133026795,0.0009891106953765385,0.03145013029188494,1.0000000000000002,1.2000000000000002,1.4000000000000004,0.20000000000000012,0.05185079713303213,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); United High Grade Corporate Bond A Acc SGD (18.63%),First Sentier Global Property Securities A Acc SGD (-12.70%); AB FCP I Global High Yield A2 SGD-H (-7.30%),False,0.47025889963951206,,-0.040057967418470786,0.35,0.35,0.18632017707466372,-0.07301673213377345,0.12713116325840534,0.16433993774831906,1.9036502732807832e-05,6.323679383947219e-05,-0.12698326786622666,0.022126448622039736,bounded_short
Target Return bounded_short,0.05353307982303726,0.0010723118562367489,0.032746173154076325,0.9999999999999999,1.1999999999999997,1.4,0.20000000000000007,0.05353307982371625,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (18.10%),First Sentier Global Property Securities A Acc SGD (-13.40%); AB FCP I Global High Yield A2 SGD-H (-6.60%),False,0.4688373252690797,,-0.042016632215030936,0.35,0.35,0.17302097419805695,-0.06598828382735634,0.12002187266839866,0.18101224377350972,3.0829987996014624e-06,0.0008481198385079673,-0.1340117161726437,0.02509370652272713,bounded_short
Target Return bounded_short,0.05521536251400382,0.0011575420642718603,0.034022669858079335,0.9999999999999997,1.1999999999999997,1.3999999999999997,0.20000000000000007,0.055215362514400367,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (18.55%),First Sentier Global Property Securities A Acc SGD (-14.03%); AB FCP I Global High Yield A2 SGD-H (-5.97%); Schroder ISF Asian Opportunities A Acc SGD (-0.00%),False,0.4671096132784344,,-0.046224191761412015,0.35,0.35,0.15720518505564207,-0.05967297799481952,0.13160047230432548,0.18550828702642597,-3.145643541767413e-07,-5.563975677455729e-06,-0.1403211434651489,0.025686055613606307,bounded_short
Target Return bounded_short,0.056897645205270846,0.0012493100759075047,0.03534558071255167,1.0,1.2000000000000002,1.4,0.1999999999999998,0.05689764520508448,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (19.80%),First Sentier Global Property Securities A Acc SGD (-15.14%); AB FCP I Global High Yield A2 SGD-H (-4.86%); Schroder ISF Asian Opportunities A Acc SGD (-0.00%),False,0.4651745338721134,,-0.04916122908591036,0.35,0.35,0.14349119915660138,-0.048622137052942924,0.13102879703038886,0.19799556808116728,3.0952832614004577e-06,-4.090388666228641e-06,-0.15137377255839063,0.027481340448581082,bounded_short
Target Return bounded_short,0.058579927896006294,0.0013456869315488056,0.03668360575991413,0.9999999999999998,1.1999999999999997,1.3999999999999997,0.19999999999999987,0.058579927895768595,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (20.84%),First Sentier Global Property Securities A Acc SGD (-15.59%); AB FCP I Global High Yield A2 SGD-H (-4.41%),False,0.4637139956348209,,-0.0522511898041752,0.35,0.35,0.12866940251693337,-0.04407728398291907,0.1335453945910707,0.20843982148579906,4.165542711650837e-06,2.5790394199193604e-07,-0.1559227160170808,0.02934095795954296,bounded_short
Target Return bounded_short,0.06026221058731507,0.001450131980194303,0.038080598474739116,0.9999999999999999,1.1999999999999997,1.3999999999999997,0.19999999999999993,0.06026221058645271,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (21.36%),First Sentier Global Property Securities A Acc SGD (-16.91%); AB FCP I Global High Yield A2 SGD-H (-3.09%),False,0.4639475366444085,,-0.056356319285199574,0.35,0.35,0.11287361289032895,-0.030866569351038427,0.14088659118902816,0.21364022607326105,5.064029379243826e-07,0.003020070990907247,-0.1691334306489615,0.029578992453536568,bounded_short
Target Return bounded_short,0.0619444932771271,0.0015533731861559015,0.0394128555950454,0.9999999999999998,1.2,1.4000000000000001,0.19999999999999993,0.06194449327713683,LionGlobal SGD Money Market A Acc SGD (35.00%); United SGD Fund B Acc SGD (35.00%); Infinity US 500 Stock Index SGD (22.87%),First Sentier Global Property Securities A Acc SGD (-17.02%); AB FCP I Global High Yield A2 SGD-H (-2.98%),False,0.4606506975107196,,-0.05865561423019605,0.35,0.35,0.09941712117313416,-0.029793363491026854,0.1391495614793724,0.22870781834908743,7.860004698319185e-05,4.871945816958251e-06,-0.17020663650897308,0.032642027005605756,bounded_short
